assembled lambda=4 N=256
PASSING MIXTURE {"rank": 27, "subspace_energy_ceiling_float": 1.0831752439742095, "min_guaranteed_ratio": 1.121823928447573, "guaranteed_masses": [0.0007425072126412376, 0.0021742853724024264, 0.0014874835811207463, 0.005063002482083427, 0.0033705997856013263, 0.004356231582384741, 0.009342206280571018, 0.009959821103371442, 0.011516807553483728, 0.025813571526314583, 0.02025343944740445, 0.02304246678169901, 0.023575061345932128, 0.02503392690725568, 0.02621522406627499, 0.043599984747762596, 0.05378778985719326, 0.04814328444084104, 0.04722560827554428, 0.046230481087598814], "slacks_at_one": [8.063221264123749e-05, 0.0013155353724024264, 0.0008818585811207464, 0.003983002482083426, 0.002486224785601326, 0.0029937315823847406, 0.007353456280571019, 0.007379196103371443, 0.008651807553483729, 0.021514821526314582, 0.016437189447404448, 0.018583716781699008, 0.018668811345932127, 0.02009830190725568, 0.020547724066274992, 0.034968734747762596, 0.043867789857193265, 0.03754953444084104, 0.036705608275544276, 0.03552923108759881]}
ENERGY RECHECK {"arithmetic": "90 decimal digits, Arb assembly midpoints; not an enclosure", "minimum": "3.3324882732432998220785983064781743e-30", "maximum": "1.0831752439742095419472476534542276", "source_removed_mixture_energy_ceiling": "0.36463969221391737023647959171445425", "gram_distance_frobenius": "6.19584923426208e-14"}
2 -8.84451879263274e-15 2.5244393450051064e-07
3 -7.924231441365825e-15 0.0001136365764621609
4 -3.2893928253989197e-15 7.598912055587994e-05
5 -9.46572370416817e-16 0.0007805564793883374
6 -7.477211849835499e-17 0.0006268885374859062
7 1.950676978692742e-16 0.0005548040485669315
8 9.81864608662055e-16 0.0005098722231878846
9 1.6492986350723627e-15 0.0004469987422653157
10 5.38692947951185e-15 0.0004727352237087719
11 9.8855601892354e-15 0.0004355974764267157
12 9.956757484378474e-13 0.00045677318885428816
13 4.017243070509043e-09 0.0005054925273294645
14 8.298441501971471e-06 0.0006290007404464835
15 0.006708536254636083 0.0005903442169622459
16 0.3283833835146357 0.0038916760716280682
17 0.5230515367640054 0.0041595641143122196
18 0.600643319648758 0.035551147947917174
19 0.7290190129953871 0.03379811066109259
20 0.7534369047113554 0.04349406514182604
21 0.7873746350951807 0.07473214172644152
22 0.7936993733432196 0.20659338783022274
23 0.8652795990538982 0.24323960335534006
24 0.9504225756457894 0.42248349436561655
25 0.9934858124119597 0.5656821585822721
26 1.0659437616890584 0.5481178235562517
27 1.0831752439742095 1.121823928447573
28 1.1059801312156692 1.0876230526251545
29 1.1628818120050415 1.407917198461005
30 1.3703083744673803 1.4665933290539355
31 1.387570624792211 1.863938275604614
32 1.3982411314862482 1.8109028726300762
33 1.4210538436359466 3.0437324944565525
34 1.4488167688267053 3.046775750733566
35 1.4854410232717887 2.990457345232868
36 1.4925052457448622 2.9191503454906664
37 1.556819721458119 3.243530300676202
38 1.576794973852369 3.1705357693698213
39 1.6775214996973888 3.1222110416854325
40 1.7269726367736276 3.0532051592518257
