lambda=4 N=96 bits=1024: neg.set ends 3998 (grid 4000); quadrature vs block() on |W|>1e-2: 4.3e-02; spec(W+) in [0.133,5.797]  [34s]
   k   nu_k = q/q+ (pencil)     e_k (eig W)      e_k/nu_k
   0      2.325e-74             5.247e-75      0.2257
   1      1.924e-66             5.057e-67      0.2629
   2      3.524e-59             1.074e-59      0.3049
   3      2.311e-52             5.841e-53      0.2528
   4      2.553e-46             6.804e-47      0.2665
   5       1.99e-40             8.227e-41      0.4134
   6       3.86e-35             1.674e-35      0.4336
   7      7.074e-30             2.753e-30      0.3891
   8      3.762e-25             1.525e-25      0.4054
   9      1.777e-20             7.664e-21      0.4312
  10      2.366e-16             9.343e-17      0.3949
  11       2.07e-12             1.413e-12      0.6823
  12        9.31e-9              5.013e-9      0.5385
  13       1.898e-5              1.243e-5      0.6552
   #directions with nu < 1e-08: 13
   #directions with nu < 1e-16: 10
   #directions with nu < 1e-30: 7
lambda=6 N=96 bits=2048: neg.set ends 3998 (grid 4000); quadrature vs block() on |W|>1e-2: 3.3e-02; spec(W+) in [0.162,6.406]  [53s]
   k   nu_k = q/q+ (pencil)     e_k (eig W)      e_k/nu_k
   0    -5.238e-116            -9.16e-117      0.1749
   1    -1.101e-116           -2.697e-117      0.2449
   2     4.096e-116            7.289e-117      0.1779
   3     6.937e-113            1.736e-113      0.2503
   4     9.219e-107            2.028e-107      0.22
   5       9.0e-101            3.523e-101      0.3915
   6      3.701e-95             1.251e-95      0.3381
   7      1.031e-89             4.041e-90      0.3918
   8       1.53e-84             7.148e-85      0.4671
   9      1.363e-79             6.152e-80      0.4514
  10      1.081e-74             5.543e-75      0.5126
  11      3.077e-70              1.44e-70      0.4681
  12       1.22e-65             6.711e-66      0.5501
  13      2.198e-61             1.368e-61      0.6224
   #directions with nu < 1e-08: 30
   #directions with nu < 1e-16: 26
   #directions with nu < 1e-30: 22
lambda=8 N=96 bits=2048: neg.set ends 3998 (grid 4000); quadrature vs block() on |W|>1e-2: 2.9e-02; spec(W+) in [0.042,6.647]  [51s]
   k   nu_k = q/q+ (pencil)     e_k (eig W)      e_k/nu_k
   0    -3.681e-115           -1.362e-115      0.3699
   1    -1.977e-115           -8.844e-116      0.4474
   2    -1.218e-115           -1.015e-116      0.08334
   3    -5.773e-116           -3.263e-117      0.05652
   4       2.7e-116            2.812e-117      0.1042
   5     8.263e-116            8.861e-117      0.1072
   6     1.441e-115             2.04e-116      0.1416
   7     2.496e-115            6.051e-116      0.2424
   8     3.491e-115            9.176e-116      0.2628
   9     2.144e-110            6.202e-111      0.2893
  10     1.672e-105            5.457e-106      0.3263
  11     9.265e-101            3.554e-101      0.3836
  12       2.89e-96             1.063e-96      0.3678
  13      7.405e-92             3.106e-92      0.4194
   #directions with nu < 1e-08: 41
   #directions with nu < 1e-16: 37
   #directions with nu < 1e-30: 31
