lambda=3 N=24 bits=1024: neg.set ends 2448 (grid 4000); quadrature vs block() on |W|>1e-2: 1.1e-05; spec(W+) in [0.085,3.922]  [3s]
   k   nu_k = q/q+ (pencil)     e_k (eig W)      e_k/nu_k
   0      9.265e-34             8.319e-35      0.08979
   1      1.788e-27               1.6e-28      0.08946
   2      4.144e-22             5.686e-23      0.1372
   3       1.74e-17              4.99e-18      0.2868
   4      6.676e-13             1.578e-13      0.2364
   5       5.366e-9              1.891e-9      0.3524
   6       2.136e-5              9.252e-6      0.4331
   7        0.02591               0.01329      0.5131
   8         0.5332                0.5747      1.078
   9         0.7582                0.7048      0.9296
  10         0.8176                 1.029      1.258
  11         0.8788                 1.258      1.431
  12         0.9101                 1.743      1.916
  13         0.9175                 1.785      1.946
   #directions with nu < 1e-08: 6
   #directions with nu < 1e-16: 4
   #directions with nu < 1e-30: 1
lambda=3 N=48 bits=1024: neg.set ends 2448 (grid 4000); quadrature vs block() on |W|>1e-2: 3.8e-05; spec(W+) in [0.085,4.654]  [27s]
   k   nu_k = q/q+ (pencil)     e_k (eig W)      e_k/nu_k
   0      4.725e-37             4.242e-38      0.08978
   1      3.503e-30             3.139e-31      0.08961
   2      4.692e-24             6.516e-25      0.1389
   3      6.189e-19             1.771e-19      0.2861
   4      6.128e-14             1.452e-14      0.2369
   5       1.125e-9             3.934e-10      0.3498
   6       8.826e-6              3.833e-6      0.4343
   7        0.01107              0.005544      0.5007
   8         0.5075                0.5339      1.052
   9         0.5692                0.6653      1.169
  10         0.6453                0.7615      1.18
  11         0.7446                0.8852      1.189
  12         0.7803                0.9408      1.206
  13         0.8173                 1.225      1.499
   #directions with nu < 1e-08: 6
   #directions with nu < 1e-16: 4
   #directions with nu < 1e-30: 1
lambda=4 N=24 bits=1024: neg.set ends 3998 (grid 4000); quadrature vs block() on |W|>1e-2: 6.9e-05; spec(W+) in [0.134,4.014]  [23s]
   k   nu_k = q/q+ (pencil)     e_k (eig W)      e_k/nu_k
   0       1.49e-46             3.353e-47      0.225
   1      1.601e-40              4.15e-41      0.2592
   2      5.273e-35             1.591e-35      0.3018
   3      5.848e-30             1.637e-30      0.28
   4      1.515e-25             3.352e-26      0.2212
   5      1.718e-21             6.824e-22      0.3973
   6      5.253e-18              2.24e-18      0.4264
   7      1.493e-14             5.699e-15      0.3817
   8      2.931e-11             1.241e-11      0.4235
   9       1.885e-8              8.387e-9      0.4448
  10       7.897e-6              3.833e-6      0.4853
  11       0.001274             0.0004344      0.341
  12        0.04871               0.03601      0.7394
  13         0.4768                 0.478      1.002
   #directions with nu < 1e-08: 9
   #directions with nu < 1e-16: 7
   #directions with nu < 1e-30: 3
lambda=4 N=48 bits=1024: neg.set ends 3998 (grid 4000); quadrature vs block() on |W|>1e-2: 6.9e-05; spec(W+) in [0.133,4.872]  [27s]
   k   nu_k = q/q+ (pencil)     e_k (eig W)      e_k/nu_k
   0      2.943e-65             6.639e-66      0.2256
   1      2.719e-58             7.134e-59      0.2624
   2      5.182e-52             1.579e-52      0.3047
   3      5.316e-46             1.359e-46      0.2557
   4      9.824e-41             2.556e-41      0.2602
   5      1.286e-35             5.313e-36      0.4132
   6       4.49e-31             1.953e-31      0.435
   7      2.075e-26             8.029e-27      0.3869
   8      2.723e-22             1.108e-22      0.4069
   9      3.252e-18              1.43e-18      0.4396
  10      1.308e-14             5.026e-15      0.3843
  11      3.933e-11             2.706e-11      0.6882
  12       6.708e-8              3.598e-8      0.5363
  13        5.51e-5              3.648e-5      0.662
   #directions with nu < 1e-08: 12
   #directions with nu < 1e-16: 10
   #directions with nu < 1e-30: 7
lambda=6 N=48 bits=2048: neg.set ends 3998 (grid 4000); quadrature vs block() on |W|>1e-2: 2.0e-05; spec(W+) in [0.162,5.220]  [26s]
   k   nu_k = q/q+ (pencil)     e_k (eig W)      e_k/nu_k
   0      6.312e-92             1.054e-92      0.1669
   1      5.548e-85             1.065e-85      0.192
   2       1.32e-78             3.026e-79      0.2293
   3      9.746e-73             2.521e-73      0.2586
   4      1.867e-67             3.923e-68      0.2101
   5      2.256e-62             7.463e-63      0.3308
   6       1.05e-57             4.039e-58      0.3847
   7      2.391e-53             7.996e-54      0.3345
   8      3.291e-49             1.463e-49      0.4446
   9      3.074e-45             1.435e-45      0.467
  10      2.499e-41             1.029e-41      0.4119
  11      1.753e-37             9.315e-38      0.5314
  12      6.087e-34             3.213e-34      0.5279
  13       1.91e-30             9.512e-31      0.4979
   #directions with nu < 1e-08: 21
   #directions with nu < 1e-16: 18
   #directions with nu < 1e-30: 13
lambda=8 N=48 bits=2048: neg.set ends 3998 (grid 4000); quadrature vs block() on |W|>1e-2: 4.7e-05; spec(W+) in [0.042,5.815]  [26s]
   k   nu_k = q/q+ (pencil)     e_k (eig W)      e_k/nu_k
   0     1.473e-105            6.503e-107      0.04414
   1        1.0e-98            5.941e-100      0.05938
   2      1.557e-92             1.339e-93      0.08604
   3      9.761e-87             1.497e-87      0.1534
   4        1.6e-81             3.402e-82      0.2126
   5       2.92e-76             5.723e-77      0.196
   6      2.147e-71             6.224e-72      0.2898
   7      5.458e-67             1.789e-67      0.3278
   8      1.099e-62               3.2e-63      0.2913
   9      3.002e-58             9.451e-59      0.3148
  10      4.414e-54             1.513e-54      0.3427
  11      2.349e-50             6.797e-51      0.2893
  12      1.415e-46             5.556e-47      0.3927
  13      4.873e-43             2.016e-43      0.4137
   #directions with nu < 1e-08: 26
   #directions with nu < 1e-16: 22
   #directions with nu < 1e-30: 17
